stableKey,defaultRestSeconds,provenanceId,derivationMode,reviewStatus,sourceStableKey,sourceReference
ex_389920ab,75,TIMING-ex_389920ab,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_389920ab,app/src/main/assets/training_settings_seed.csv#ex_389920ab
ex_389e0556,90,TIMING-ex_389e0556,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_389e0556,app/src/main/assets/training_settings_seed.csv#ex_389e0556
ex_3a7d3eda,90,TIMING-ex_3a7d3eda,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_3a7d3eda,app/src/main/assets/training_settings_seed.csv#ex_3a7d3eda
ex_3c3692aa,75,TIMING-ex_3c3692aa,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_3c3692aa,app/src/main/assets/training_settings_seed.csv#ex_3c3692aa
ex_3caa236b,75,TIMING-ex_3caa236b,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_3caa236b,app/src/main/assets/training_settings_seed.csv#ex_3caa236b
ex_3d5719de,60,TIMING-ex_3d5719de,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_3d5719de,app/src/main/assets/training_settings_seed.csv#ex_3d5719de
ex_3f184ef9,45,TIMING-ex_3f184ef9,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_3f184ef9,app/src/main/assets/training_settings_seed.csv#ex_3f184ef9
ex_40fa57be,75,TIMING-ex_40fa57be,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_40fa57be,app/src/main/assets/training_settings_seed.csv#ex_40fa57be
ex_421ba24b,60,TIMING-ex_421ba24b,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_421ba24b,app/src/main/assets/training_settings_seed.csv#ex_421ba24b
ex_4255e429,60,TIMING-ex_4255e429,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_4255e429,app/src/main/assets/training_settings_seed.csv#ex_4255e429
ex_442617f6,60,TIMING-ex_442617f6,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_442617f6,app/src/main/assets/training_settings_seed.csv#ex_442617f6
ex_462c760e,75,TIMING-ex_462c760e,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_462c760e,app/src/main/assets/training_settings_seed.csv#ex_462c760e
ex_4773b6ea,90,TIMING-ex_4773b6ea,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_4773b6ea,app/src/main/assets/training_settings_seed.csv#ex_4773b6ea
ex_4aa3725a,90,TIMING-ex_4aa3725a,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_4aa3725a,app/src/main/assets/training_settings_seed.csv#ex_4aa3725a
ex_4c76dbb2,75,TIMING-ex_4c76dbb2,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_4c76dbb2,app/src/main/assets/training_settings_seed.csv#ex_4c76dbb2
ex_4c779df2,60,TIMING-ex_4c779df2,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_4c779df2,app/src/main/assets/training_settings_seed.csv#ex_4c779df2
ex_5004ca76,60,TIMING-ex_5004ca76,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_5004ca76,app/src/main/assets/training_settings_seed.csv#ex_5004ca76
ex_5322f2d1,60,TIMING-ex_5322f2d1,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_5322f2d1,app/src/main/assets/training_settings_seed.csv#ex_5322f2d1
ex_5c8751d2,60,TIMING-ex_5c8751d2,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_5c8751d2,app/src/main/assets/training_settings_seed.csv#ex_5c8751d2
ex_5ca7133f,45,TIMING-ex_5ca7133f,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_5ca7133f,app/src/main/assets/training_settings_seed.csv#ex_5ca7133f
ex_6232f4bc,60,TIMING-ex_6232f4bc,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_6232f4bc,app/src/main/assets/training_settings_seed.csv#ex_6232f4bc
ex_64422511,60,TIMING-ex_64422511,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_64422511,app/src/main/assets/training_settings_seed.csv#ex_64422511
ex_644e0f9d,45,TIMING-ex_644e0f9d,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_644e0f9d,app/src/main/assets/training_settings_seed.csv#ex_644e0f9d
ex_6463edad,90,TIMING-ex_6463edad,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_6463edad,app/src/main/assets/training_settings_seed.csv#ex_6463edad
ex_64644b5e,90,TIMING-ex_64644b5e,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_64644b5e,app/src/main/assets/training_settings_seed.csv#ex_64644b5e
ex_64661229,45,TIMING-ex_64661229,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_64661229,app/src/main/assets/training_settings_seed.csv#ex_64661229
ex_6466fe77,90,TIMING-ex_6466fe77,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_6466fe77,app/src/main/assets/training_settings_seed.csv#ex_6466fe77
ex_681d9ed2,30,TIMING-ex_681d9ed2,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_681d9ed2,app/src/main/assets/training_settings_seed.csv#ex_681d9ed2
ex_681eed4a,45,TIMING-ex_681eed4a,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_681eed4a,app/src/main/assets/training_settings_seed.csv#ex_681eed4a
ex_69a56484,60,TIMING-ex_69a56484,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_69a56484,app/src/main/assets/training_settings_seed.csv#ex_69a56484
ex_6a966452,75,TIMING-ex_6a966452,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_6a966452,app/src/main/assets/training_settings_seed.csv#ex_6a966452
ex_704cbf1a,75,TIMING-ex_704cbf1a,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_704cbf1a,app/src/main/assets/training_settings_seed.csv#ex_704cbf1a
ex_708e64ce,75,TIMING-ex_708e64ce,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_708e64ce,app/src/main/assets/training_settings_seed.csv#ex_708e64ce
ex_70f19bf,60,TIMING-ex_70f19bf,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_70f19bf,app/src/main/assets/training_settings_seed.csv#ex_70f19bf
ex_721f7b5b,120,TIMING-ex_721f7b5b,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_721f7b5b,app/src/main/assets/training_settings_seed.csv#ex_721f7b5b
ex_728da646,60,TIMING-ex_728da646,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_728da646,app/src/main/assets/training_settings_seed.csv#ex_728da646
ex_72f11dc5,45,TIMING-ex_72f11dc5,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_72f11dc5,app/src/main/assets/training_settings_seed.csv#ex_72f11dc5
ex_73b0b63f,75,TIMING-ex_73b0b63f,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_73b0b63f,app/src/main/assets/training_settings_seed.csv#ex_73b0b63f
ex_7404067c,60,TIMING-ex_7404067c,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_7404067c,app/src/main/assets/training_settings_seed.csv#ex_7404067c
ex_74c2d13b,45,TIMING-ex_74c2d13b,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_74c2d13b,app/src/main/assets/training_settings_seed.csv#ex_74c2d13b
ex_752b45ae,60,TIMING-ex_752b45ae,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_752b45ae,app/src/main/assets/training_settings_seed.csv#ex_752b45ae
ex_767e188e,75,TIMING-ex_767e188e,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_767e188e,app/src/main/assets/training_settings_seed.csv#ex_767e188e
ex_7814843a,90,TIMING-ex_7814843a,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_7814843a,app/src/main/assets/training_settings_seed.csv#ex_7814843a
ex_79f3bdbe,90,TIMING-ex_79f3bdbe,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_79f3bdbe,app/src/main/assets/training_settings_seed.csv#ex_79f3bdbe
ex_7ce96a7a,90,TIMING-ex_7ce96a7a,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_7ce96a7a,app/src/main/assets/training_settings_seed.csv#ex_7ce96a7a
ex_7deabeba,60,TIMING-ex_7deabeba,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_7deabeba,app/src/main/assets/training_settings_seed.csv#ex_7deabeba
ex_85b2ac56,60,TIMING-ex_85b2ac56,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_85b2ac56,app/src/main/assets/training_settings_seed.csv#ex_85b2ac56
ex_85f12271,75,TIMING-ex_85f12271,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_85f12271,app/src/main/assets/training_settings_seed.csv#ex_85f12271
ex_86323ed6,60,TIMING-ex_86323ed6,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_86323ed6,app/src/main/assets/training_settings_seed.csv#ex_86323ed6
ex_8633d8db,60,TIMING-ex_8633d8db,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_8633d8db,app/src/main/assets/training_settings_seed.csv#ex_8633d8db
ex_8824026f,60,TIMING-ex_8824026f,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_8824026f,app/src/main/assets/training_settings_seed.csv#ex_8824026f
ex_8a3800f1,75,TIMING-ex_8a3800f1,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_8a3800f1,app/src/main/assets/training_settings_seed.csv#ex_8a3800f1
ex_8e4bf08e,120,TIMING-ex_8e4bf08e,LEGACY_SEED_DIRECT_MATERIALIZED,APPROVED_PARITY_MATERIALIZATION,ex_8e4bf08e,app/src/main/assets/training_settings_seed.csv#ex_8e4bf08e
