templateId,example,week,weekType,day,order,requestedSlot,requiredAnchor,role,exerciseName,stableKey,rehabLike,badmintonTransfer,stressMagnitude,capabilitySource,capabilityConfidence
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","3","3","SCAPULAR_SHOULDER_SUPPORT","false","SUPPORT","케틀벨 헤일로","kettlebell_halo","false","SUPPORTIVE","LOW","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","3","4","FOREARM_GRIP_ELBOW_SUPPORT","false","ACCESSORY","로프 해머 컬","ex_c1a81cb2","false","GENERAL","LOW","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","5","1","BADMINTON_DECEL_COD","false","TRANSFER","사이드 스텝 후 정지","ex_9b132c23","false","SUPPORTIVE","HIGH","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","5","2","BADMINTON_FOOTWORK_REACTION","false","TRANSFER","가벼운 콕줍기","ex_216351a1","false","DIRECT","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","5","3","CALF_ANKLE_CAPACITY","false","SUPPORT","스탠딩 카프 레이즈","ex_bd072cd","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","5","4","TRUNK_ANTI_ROTATION_STABILITY","false","CORE","코펜하겐 플랭크","ex_a8385c4a","false","SUPPORTIVE","LOW","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","7","1","HIP_HINGE_POSTERIOR_CHAIN","true","ANCHOR","싱글 레그 힙 쓰러스트","ex_d634055c","false","GENERAL","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","7","2","POWER_REACTIVE_LOW_VOLUME","false","TRANSFER","메디신볼 오버헤드 슬램","med_ball_overhead_slam","false","SUPPORTIVE","HIGH","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","7","3","SCAPULAR_SHOULDER_SUPPORT","false","SUPPORT","월 슬라이드","ex_f97a05ab","true","SUPPORTIVE","LOW","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","7","4","RECOVERY_PREHAB_LIGHT","false","PREHAB","슈퍼맨","ex_284ecca6","true","GENERAL","LOW","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","3","HIGH","1","1","LOWER_SQUAT_PATTERN","true","ANCHOR","래터럴 런지","ex_b4b198de","false","SUPPORTIVE","HIGH","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","3","HIGH","1","2","SINGLE_LEG_STRENGTH_CONTROL","false","SUPPORT","박스 스텝업","ex_6232f4bc","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","3","HIGH","1","3","TRUNK_ANTI_ROTATION_STABILITY","false","CORE","파머스 캐리","ex_a1fc4533","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","3","HIGH","1","4","CALF_ANKLE_CAPACITY","false","SUPPORT","카프 레이즈","ex_f892893e","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","3","HIGH","3","1","UPPER_PULL_ANCHOR","true","ANCHOR","케이블 원암 로우","ex_3c3692aa","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","3","HIGH","3","2","ATHLETIC_OVERHEAD_PRESS_SUPPORT","false","SUPPORT","하프 닐링 프레스","ex_66e8c8c2","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","3","HIGH","3","3","SCAPULAR_SHOULDER_SUPPORT","false","SUPPORT","리어델트 케이블 플라이","ex_7deabeba","false","GENERAL","LOW","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","3","HIGH","3","4","FOREARM_GRIP_ELBOW_SUPPORT","false","ACCESSORY","덤벨 리스트 컬","ex_95028bfe","false","SUPPORTIVE","LOW","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","3","HIGH","5","1","BADMINTON_DECEL_COD","false","TRANSFER","래터럴 바운드","ex_34e7d21","false","SUPPORTIVE","HIGH","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","3","HIGH","5","2","BADMINTON_FOOTWORK_REACTION","false","TRANSFER","6방향 랜덤 콕줍기","ex_bc84eb7f","false","DIRECT","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","3","HIGH","5","3","CALF_ANKLE_CAPACITY","false","SUPPORT","시티드 카프 레이즈","ex_5c8751d2","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","3","HIGH","5","4","TRUNK_ANTI_ROTATION_STABILITY","false","CORE","플레이트 로테이셔널 프레스아웃","plate_rotational_press_out","false","SUPPORTIVE","LOW","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","3","HIGH","7","1","HIP_HINGE_POSTERIOR_CHAIN","true","ANCHOR","B-스탠스 RDL","ex_201f6426","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","3","HIGH","7","2","POWER_REACTIVE_LOW_VOLUME","false","TRANSFER","B스킵","ex_a12de4d2","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","MODERATE"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","3","HIGH","7","3","SCAPULAR_SHOULDER_SUPPORT","false","SUPPORT","밴드 외회전","ex_e8ff8cfa","true","SUPPORTIVE","LOW","RUNTIME_METADATA","HIGH"
