image_key,exercise_name_ko,english_name,source_zip_path,intended_asset_path,restored_asset_path,bytes,width,height,match_method
one_arm_inverted_row,원암 인버티드 로우,원암인버티드로우,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/49_one_arm_inverted_row.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/49_one_arm_inverted_row.png,exercise_images/local_downloads/one_arm_inverted_row.png,120205,330,330,exact
lat_pulldown,랫풀다운,랫풀다운,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/50_lat_pulldown.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/50_lat_pulldown.png,exercise_images/local_downloads/lat_pulldown.png,141430,330,330,exact
pull_up,풀업,풀업,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/51_pull_up.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/51_pull_up.png,exercise_images/local_downloads/pull_up.png,133940,330,330,exact
weighted_pull_up,중량 풀업,중량풀업,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/52_weighted_pull_up.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/52_weighted_pull_up.png,exercise_images/local_downloads/weighted_pull_up.png,126348,330,330,exact
chin_up,친업,친업,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/53_chin_up.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/53_chin_up.png,exercise_images/local_downloads/chin_up.png,126490,330,330,exact
weighted_chin_up,중량 친업,중량친업,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/54_weighted_chin_up.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/54_weighted_chin_up.png,exercise_images/local_downloads/weighted_chin_up.png,126810,330,330,exact
dumbbell_curl,덤벨 컬,덤벨컬,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/55_dumbbell_curl.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/55_dumbbell_curl.png,exercise_images/local_downloads/dumbbell_curl.png,145508,330,330,exact
one_arm_dumbbell_curl,원암 덤벨 컬,원암덤벨컬,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/56_one_arm_dumbbell_curl.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/56_one_arm_dumbbell_curl.png,exercise_images/local_downloads/one_arm_dumbbell_curl.png,146166,330,330,exact
hammer_curl,해머 컬,해머컬,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/57_hammer_curl.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/57_hammer_curl.png,exercise_images/local_downloads/hammer_curl.png,143657,330,330,exact
one_arm_hammer_curl,원암 해머 컬,원암해머컬,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/58_one_arm_hammer_curl.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/58_one_arm_hammer_curl.png,exercise_images/local_downloads/one_arm_hammer_curl.png,141582,330,330,exact
